Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_386_1	0.119435	-0.877012	-0.859683	-0.751947	-0.891250
1_387_1	0.767617	1.189980	-1.067058	-1.273175	-1.055092
1_388_1	1.646348	0.988389	-0.976178	-1.006590	-1.219513
1_389_1	0.997278	0.104390	0.726010	-0.295237	0.105877
1_390_1	1.710224	1.307487	-1.700964	-0.349127	-1.725687
1_391_1	0.979762	1.292790	0.078431	-0.952368	-0.723648
1_392_1	-0.191142	-0.410980	0.478238	-1.672686	0.221135
1_393_1	-0.778793	-1.723525	1.551199	1.496812	1.511800
1_394_1	-0.462854	-0.982704	0.435500	0.097183	0.789631
1_395_1	-0.734111	1.922124	-1.211534	-0.414217	-0.420930
1_396_1	0.266423	0.591670	-0.919453	-1.279784	-1.343805
1_397_1	0.477112	0.889476	0.107876	-1.446497	-0.945526
1_398_1	1.259778	1.056272	-1.073247	-1.212505	-1.913932
1_399_1	-1.440975	1.813671	-0.871688	-0.132250	-0.280626
1_400_1	-1.201286	-2.070433	0.853914	0.857876	1.207984
1_401_1	1.585967	0.642209	0.617074	-1.078126	-0.301374
1_402_1	0.316817	0.908506	0.020586	-1.143661	-0.329595
1_403_1	1.432645	0.323749	-1.386678	-1.247541	-1.389882
1_404_1	1.119804	0.571843	-0.459779	-0.742164	-0.676801
1_405_1	-0.074285	-0.764669	-0.684266	-0.597230	-1.448771
1_406_1	1.306651	0.734759	-1.185249	-1.176888	-1.468674
