Pattern,avgS,ha,hb,hc,hd,he,hf,hg,hh,hi,hj
gcnf_over_s1,2.5721,1.1747570806157237,1.1236339354140992,1.1185065822545661,1.072381282151867,1.1250422117424188,1.0799920645641334,9700.718042880453,9604.239208562394,9626.149716469654,9552.32063543362
gcnf_over_s2,2.5267,1.157584912827637,1.1007945672807384,1.1003374246535267,1.046113915257336,1.100973466158718,1.0469638327523318,9629.109466106565,9532.521960553382,9508.105390840676,9439.822146218914
gcnf_over_s3,2.4933,1.1461799775368702,1.086582467421125,1.0820556597772168,1.022087873841754,1.0858329506444244,1.0269576271138505,9560.356902525315,9461.038813127094,9411.509182313563,9344.89798234683
gcnf_over_s4,2.4747,1.138296204460934,1.0773991598463408,1.0699434268740464,1.0094586078255365,1.0751966792307583,1.0154823175940315,9509.563551126548,9409.178098675855,9334.48522051211,9270.893328106498
gcnf_over_s5,2.4567,1.132468253925796,1.071050944289039,1.0636370540533953,1.0071048368478381,1.0690092847959174,1.0068946492376953,9449.871423344986,9340.669738202309,9258.254420581214,9191.081059647857
cdx2_over_s1,2.4367,1.1310840631502865,1.0963459197444172,0.9641532128322714,0.9501803231424686,0.9705784092207215,0.95496949630025,9372.168015716734,9236.60639505248,8987.468021548215,8866.877821726202
cdx2_over_s2,2.3429,1.0869734280409094,1.0648800756416013,0.8767850527165637,0.8866266527921909,0.8784720354764074,0.8893684691077854,9168.514365053863,9003.511435743265,8619.570934029218,8472.29156159391
cdx2_over_s3,2.2915,1.0586813811791613,1.0447369500655115,0.82543619610039,0.8542334985119886,0.8281188521575886,0.854902526947397,9035.329827773901,8866.26940898876,8416.084332509901,8267.772632167218
cdx2_over_s4,2.2521,1.035238823279092,1.029369945331235,0.7871915578133557,0.8262043102762158,0.7917457688013547,0.8324110143670712,8918.958640241073,8739.508933500572,8270.14017840457,8114.949827262395
cdx2_over_s5,2.2143,1.0145225634822164,1.0158160279891484,0.763095842486277,0.8160968342405144,0.7663162687894474,0.8168407629912261,8810.432235743325,8619.895442197356,8156.577563054342,7996.88541565481
klf4_over_s1,2.6848,1.2405490424587677,1.1730919720711706,1.204423862225918,1.1462530708401824,1.209343513913988,1.1494223369885765,9698.796112980357,9681.951977102728,9639.671398635195,9623.887946260576
klf4_over_s2,2.6904,1.250336088659472,1.177306076574031,1.2152536623411456,1.1531583194643558,1.218196962167021,1.1537305908824353,9651.505980867007,9614.910538938893,9579.311662230892,9542.72667059926
